1	209
2	76
3	63
4	59
5	64
6	58
7	50
8	33
9	28
10	29
11	36
12	38
13	45
14	61
15	84
16	139
17	178
18	255
19	219
20	491
21	360
22	414
23	464
24	418
25	501
26	437
27	313
28	327
29	248
30	297
31	136
32	216
33	127
34	118
35	145
36	130
37	74
38	78
39	65
40	113
41	52
42	70
43	71
44	51
45	98
46	68
47	47
48	71
49	45
50	70
51	23
52	58
53	47
54	25
55	37
56	52
57	27
58	31
59	20
60	46
61	22
62	19
63	13
64	18
65	33
66	17
67	14
68	13
69	9
70	31
71	6
72	16
73	13
74	6
75	11
76	9
77	4
78	10
79	3
80	6
81	3
82	2
83	2
84	3
85	3
86	1
87	1
89	1
90	2
91	2
92	1
95	1
106	1
